"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "TypeScript", "comment", "blank", "total"
"c:\habitau\src\app\pages\private\formusuario\formusuario.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\formusuario\formusuario.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 1, 3, 17
"c:\habitau\src\app\pages\private\home\home.component.html", "HTML", 0, 0, 0, 0, 75, 0, 0, 0, 1, 76
"c:\habitau\src\app\pages\private\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\private\profile\profile.component.html", "HTML", 0, 0, 0, 0, 117, 0, 0, 0, 4, 121
"c:\habitau\src\app\pages\private\profile\profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\profile\profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\profile\profile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 47, 1, 6, 54
"c:\habitau\src\app\pages\private\propiedades\propiedades.component.html", "HTML", 0, 0, 0, 0, 128, 0, 0, 0, 3, 131
"c:\habitau\src\app\pages\private\propiedades\propiedades.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\propiedades\propiedades.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\propiedades\propiedades.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\public\aboutnav\aboutnav.component.html", "HTML", 0, 0, 0, 0, 185, 0, 0, 66, 16, 267
"c:\habitau\src\app\pages\public\aboutnav\aboutnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\public\aboutnav\aboutnav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\aboutnav\aboutnav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\public\contactnav\contactnav.component.html", "HTML", 0, 0, 0, 0, 449, 0, 0, 0, 13, 462
"c:\habitau\src\app\pages\public\contactnav\contactnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\habitau\src\app\pages\public\contactnav\contactnav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\contactnav\contactnav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 79, 0, 8, 87
"c:\habitau\src\app\pages\public\explorenav\explorenav.component.html", "HTML", 0, 0, 0, 0, 428, 0, 0, 59, 30, 517
"c:\habitau\src\app\pages\public\explorenav\explorenav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\public\explorenav\explorenav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\explorenav\explorenav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 4, 37
"c:\habitau\src\app\pages\public\forgotpassword\forgotpassword.component.html", "HTML", 0, 0, 0, 0, 127, 0, 0, 4, 3, 134
"c:\habitau\src\app\pages\public\forgotpassword\forgotpassword.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\public\forgotpassword\forgotpassword.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\forgotpassword\forgotpassword.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 6, 39
"c:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
